Phone Name,Price
Apple iPhone 14 Pro (1 TB) - Silver,"1,65,990"
Apple iPhone 14 (128 GB) - Yellow,"74,900"
Apple iPhone 12 (256GB) - Purple,"66,999"
Apple iPhone 14 Pro Max (128 GB) - Deep Purple,"1,39,900"
Apple iPhone 12 (128GB) - (Product) RED,"59,900"
Apple iPhone 14 (256 GB) - Yellow,"84,900"
Apple iPhone 14 Plus (128 GB) - Yellow,"84,900"
Apple iPhone 14 Pro Max (1 TB) - Gold,"1,89,900"
Apple iPhone 14 Plus (256 GB) - Starlight,"89,999"
Apple iPhone 14 Pro Max (128 GB) - Silver,"1,27,999"
Apple iPhone 14 Pro (256 GB) - Gold,"1,39,900"
Apple iPhone 14 Pro (256 GB) - Silver,"1,29,999"
Apple iPhone 14 Plus (128 GB) - Purple,"84,900"
Apple iPhone SE (64 GB) - Midnight (3rd Generation),"49,900"
Apple iPhone 14 Pro Max (256 GB) - Deep Purple,"1,49,900"
Apple iPhone 14 Pro (128 GB) - Space Black,"1,19,999"
Apple iPhone 12 (256GB) - White,"74,900"
Apple iPhone 14 Pro (1 TB) - Gold,"1,69,999"
Apple iPhone 14 Pro Max (256 GB) - Space Black,"1,49,900"
Apple iPhone 14 Plus (256 GB) - Midnight,"94,900"
Apple iPhone SE (128 GB) - Starlight (3rd Generation),"54,900"
Apple iPhone 14 Pro (256 GB) - Deep Purple,"1,39,900"
Apple iPhone SE (128 GB) - Midnight (3rd Generation),"54,900"
Apple iPhone 12 (64GB) - (Product) RED,"53,999"
